PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Data from {0}",,"Daten von {0}",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Delayed 15 minutes.",,"15 Minuten verzögert.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"More details",,"Weitere Details",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"News",,"Nachrichten",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"No results found.",,"Keine Ergebnisse gefunden.",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"After hours",,"Außerhalb der Geschäftszeiten",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Percentage change",,"Prozentuale Änderung",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Price change",,"Kursentwicklung",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"When",,"Wann",,"Text",,"All",,"Skype Spaces for Web 2016",,""
""<a href=""https://go.microsoft.com/fwlink/?linkid=849660"">Image may be subject to copyright</a>"",,""<a href=""https://go.microsoft.com/fwlink/?linkid=849660"">Bild kann urheberrechtlich geschützt sein</a>"",,"Text",,"All",,"Skype Spaces for Web 2016",,""
"Image",,"Bild",,"Text",,"All",,"Skype Spaces for Web 2016",,""
""<a href=""{0}"">View original</a>"",,""<a href=""{0}"">Original anzeigen</a>"",,"Text",,"All",,"Skype Spaces for Web 2016",,""
